epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4704.68,2.3474,3.44609,2.01548,0.4345,0.08852,0.05741,0.03067,1.97146,2.86534,1.7573,0.0670045,0.000333288,0.000333288
2,8672.73,1.75572,2.70603,1.58268,0.33764,0.1632,0.13116,0.07647,1.652,2.27854,1.52417,0.0340043,0.000666459,0.000666459
3,12631.3,1.59885,2.40611,1.47043,0.3679,0.20911,0.18098,0.11011,1.5273,2.01887,1.42971,0.00100349,0.000998978,0.000998978
4,16664.1,1.50278,2.21349,1.40487,0.38399,0.23705,0.21523,0.13503,1.45661,1.87151,1.37932,0.000997803,0.000997803,0.000997803
5,20664.2,1.44371,2.087,1.36481,0.39839,0.25158,0.23779,0.1516,1.41209,1.78287,1.34825,0.000996097,0.000996097,0.000996097
6,25173,1.40654,2.00329,1.34021,0.42095,0.26529,0.25073,0.16219,1.386,1.73031,1.32797,0.000993906,0.000993906,0.000993906
7,29526.6,1.37659,1.938,1.31735,0.43085,0.27294,0.2602,0.16909,1.36738,1.6951,1.31471,0.000991232,0.000991232,0.000991232
8,34261,1.35364,1.88504,1.30062,0.44075,0.27782,0.26768,0.17485,1.3543,1.67099,1.30586,0.000988079,0.000988079,0.000988079
9,38908.9,1.33488,1.84653,1.28981,0.44614,0.281,0.27406,0.17969,1.34434,1.6517,1.29819,0.000984449,0.000984449,0.000984449
10,43106.2,1.32075,1.80949,1.2798,0.45168,0.284,0.28046,0.18447,1.33525,1.63599,1.29163,0.000980345,0.000980345,0.000980345
11,47669.2,1.30522,1.77243,1.26894,0.45961,0.28609,0.28659,0.18924,1.32674,1.62135,1.28502,0.000975773,0.000975773,0.000975773
12,52414.4,1.29544,1.74936,1.26227,0.46413,0.28966,0.29226,0.19332,1.3178,1.6058,1.27793,0.000970736,0.000970736,0.000970736
13,56861.8,1.2833,1.72657,1.25541,0.47162,0.29566,0.29862,0.19809,1.309,1.58892,1.27109,0.000965239,0.000965239,0.000965239
14,61452.8,1.27642,1.70398,1.24991,0.48074,0.30035,0.3051,0.20249,1.29995,1.57221,1.2642,0.000959289,0.000959289,0.000959289
15,66080.4,1.26511,1.68319,1.24378,0.47985,0.30531,0.31193,0.20778,1.29201,1.55459,1.2574,0.000952889,0.000952889,0.000952889
16,70294.7,1.25907,1.66677,1.23892,0.49052,0.30569,0.31893,0.21294,1.2844,1.53627,1.25095,0.000946048,0.000946048,0.000946048
17,74604.9,1.25191,1.64765,1.23383,0.49979,0.30991,0.32582,0.21749,1.27641,1.51657,1.24434,0.000938772,0.000938772,0.000938772
18,79178,1.24614,1.63283,1.23002,0.49717,0.31941,0.33244,0.22165,1.26884,1.49682,1.2384,0.000931067,0.000931067,0.000931067
19,83452.3,1.24005,1.61953,1.22541,0.49606,0.32724,0.33801,0.2256,1.26293,1.4774,1.23384,0.000922942,0.000922942,0.000922942
20,87728.7,1.23236,1.6047,1.22108,0.50009,0.33178,0.34453,0.23023,1.25609,1.45983,1.22872,0.000914405,0.000914405,0.000914405
21,92019.8,1.22695,1.59466,1.21884,0.49918,0.33962,0.34939,0.23341,1.24945,1.44322,1.22367,0.000905463,0.000905463,0.000905463
22,96329.5,1.22013,1.57899,1.21535,0.50387,0.34356,0.35461,0.23708,1.24368,1.42721,1.21895,0.000896127,0.000896127,0.000896127
23,100629,1.21631,1.57008,1.21142,0.50548,0.34888,0.35921,0.24064,1.23781,1.41339,1.2145,0.000886404,0.000886404,0.000886404
24,104932,1.21456,1.55988,1.21013,0.50802,0.35333,0.36291,0.24366,1.23212,1.40052,1.21011,0.000876305,0.000876305,0.000876305
25,109299,1.20516,1.54719,1.20534,0.51032,0.35685,0.36643,0.24617,1.22714,1.38823,1.20607,0.000865839,0.000865839,0.000865839
26,113846,1.20472,1.53921,1.20439,0.52621,0.35428,0.36957,0.24913,1.22239,1.37862,1.20195,0.000855018,0.000855018,0.000855018
27,118492,1.20002,1.53165,1.20215,0.53035,0.35594,0.37333,0.25149,1.21752,1.36828,1.1981,0.000843851,0.000843851,0.000843851
28,122927,1.19734,1.52122,1.19956,0.53263,0.35716,0.37601,0.25379,1.21395,1.35849,1.19528,0.000832349,0.000832349,0.000832349
29,127588,1.19353,1.51462,1.19777,0.53019,0.36068,0.37876,0.25572,1.21059,1.35069,1.19232,0.000820525,0.000820525,0.000820525
30,132062,1.18856,1.50673,1.19481,0.53065,0.36056,0.38111,0.25725,1.20695,1.34396,1.18982,0.000808389,0.000808389,0.000808389
31,136443,1.18481,1.49577,1.1921,0.52979,0.36406,0.38338,0.25916,1.20399,1.33749,1.18725,0.000795954,0.000795954,0.000795954
32,141084,1.18262,1.49171,1.19068,0.53386,0.3653,0.38563,0.26098,1.20119,1.3312,1.18489,0.000783231,0.000783231,0.000783231
33,145791,1.17848,1.48366,1.18904,0.53376,0.36577,0.38775,0.2629,1.19828,1.32584,1.18229,0.000770234,0.000770234,0.000770234
34,150553,1.17548,1.47559,1.18659,0.52707,0.37088,0.38949,0.26393,1.19564,1.32064,1.18027,0.000756976,0.000756976,0.000756976
35,154816,1.1738,1.47037,1.18622,0.53567,0.36938,0.39183,0.26557,1.19264,1.31568,1.17817,0.000743468,0.000743468,0.000743468
36,158961,1.17088,1.46506,1.18393,0.52741,0.37511,0.39318,0.26679,1.19019,1.31,1.17664,0.000729725,0.000729725,0.000729725
37,163217,1.1674,1.45635,1.18134,0.53063,0.37758,0.39499,0.26805,1.18817,1.30502,1.17478,0.000715761,0.000715761,0.000715761
38,167521,1.16678,1.4531,1.18045,0.534,0.37986,0.39709,0.26912,1.18601,1.30094,1.17307,0.000701588,0.000701588,0.000701588
39,171675,1.16295,1.44544,1.17848,0.53985,0.37748,0.39928,0.27055,1.18459,1.29664,1.17197,0.000687222,0.000687222,0.000687222
40,175853,1.15863,1.43902,1.17665,0.54347,0.3784,0.40027,0.27128,1.18288,1.29232,1.17066,0.000672675,0.000672675,0.000672675
41,180027,1.15672,1.43568,1.17636,0.53444,0.38368,0.40192,0.2729,1.18183,1.2883,1.16939,0.000657963,0.000657963,0.000657963
42,184188,1.15532,1.42783,1.17444,0.52321,0.38648,0.40384,0.27421,1.18031,1.28446,1.168,0.000643101,0.000643101,0.000643101
43,188353,1.15272,1.42178,1.17253,0.52427,0.38598,0.40512,0.27544,1.17824,1.28064,1.16677,0.000628101,0.000628101,0.000628101
44,192548,1.14898,1.41746,1.16993,0.53282,0.38411,0.40688,0.27621,1.17553,1.27674,1.16502,0.000612981,0.000612981,0.000612981
45,196732,1.14715,1.41294,1.16928,0.53544,0.38497,0.40871,0.27739,1.1738,1.27362,1.16379,0.000597754,0.000597754,0.000597754
46,201127,1.14642,1.40944,1.16891,0.53194,0.38869,0.4102,0.27846,1.1726,1.27063,1.16264,0.000582435,0.000582435,0.000582435
47,205894,1.14416,1.40557,1.16793,0.53313,0.38903,0.4116,0.27941,1.17158,1.26736,1.16173,0.00056704,0.00056704,0.00056704
48,210503,1.14148,1.40084,1.16746,0.5343,0.38966,0.41211,0.28035,1.17019,1.2648,1.1606,0.000551584,0.000551584,0.000551584
49,214892,1.14062,1.39644,1.16602,0.54224,0.38805,0.41247,0.28069,1.16902,1.26246,1.15955,0.000536081,0.000536081,0.000536081
50,219438,1.13778,1.38958,1.16412,0.54325,0.38916,0.41394,0.28182,1.16781,1.25936,1.15863,0.000520548,0.000520548,0.000520548
51,224105,1.13485,1.38805,1.16296,0.53879,0.39294,0.41494,0.28249,1.16662,1.25594,1.15768,0.000505,0.000505,0.000505
